date,tone,art_count
2017-01-01,1.368,69
2017-01-02,0.798,157
2017-01-03,0.75,845
2017-01-04,1.003,612
2017-01-05,1.147,1355
2017-01-06,1.514,733
2017-01-07,1.125,346
2017-01-08,0.912,270
2017-01-09,1.197,430
2017-01-10,1.099,404
2017-01-11,1.282,317
2017-01-12,1.104,269
2017-01-13,1.106,325
2017-01-14,1.287,171
2017-01-15,1.397,127
2017-01-16,1.826,264
2017-01-17,1.492,258
2017-01-18,1.213,261
2017-01-19,0.988,255
2017-01-20,1.181,202
2017-01-21,1.179,106
2017-01-22,0.94,71
2017-01-23,1.475,144
2017-01-24,1.047,184
2017-01-25,1.373,204
2017-01-26,1.722,196
2017-01-27,1.825,231
2017-01-28,1.087,127
2017-01-29,1.787,70
2017-01-30,1.14,192
2017-01-31,1.321,281
2017-02-01,1.242,305
2017-02-02,1.798,272
2017-02-03,1.557,245
2017-02-04,1.427,241
2017-02-05,1.285,90
2017-02-06,1.362,259
2017-02-07,0.968,273
2017-02-08,1.277,200
2017-02-09,1.149,324
2017-02-10,1.17,475
2017-02-11,1.595,289
2017-02-12,1.271,85
2017-02-13,1.643,267
2017-02-14,0.646,251
2017-02-15,1.435,286
2017-02-16,1.604,332
2017-02-17,1.556,297
2017-02-18,1.099,125
2017-02-19,1.404,100
2017-02-20,1.328,193
2017-02-21,1.403,227
2017-02-22,1.269,326
2017-02-23,-0.16,326
2017-02-24,0.817,321
2017-02-25,1.46,269
2017-02-26,1.478,129
2017-02-27,1.417,334
2017-02-28,1.263,270
2017-03-01,1.231,475
2017-03-02,1.138,346
2017-03-03,1.359,337
2017-03-04,1.805,186
2017-03-05,2.087,123
2017-03-06,1.316,277
2017-03-07,1.442,380
2017-03-08,1.607,303
2017-03-09,1.43,293
2017-03-10,1.523,260
2017-03-11,1.104,163
2017-03-12,1.721,96
2017-03-13,0.611,506
2017-03-14,0.975,376
2017-03-15,1.16,289
2017-03-16,1.005,341
2017-03-17,1.328,269
2017-03-18,1.072,182
2017-03-19,1.499,98
2017-03-20,0.573,239
2017-03-21,0.806,342
2017-03-22,0.64,335
2017-03-23,0.991,302
2017-03-24,0.781,406
2017-03-25,0.482,169
2017-03-26,1.032,87
2017-03-27,1.252,158
2017-03-28,1.659,209
2017-03-29,1.604,181
2017-03-30,1.162,196
2017-03-31,0.984,181
2017-04-01,0.967,104
2017-04-02,1.18,71
2017-04-03,1.238,215
2017-04-04,0.332,375
2017-04-05,1.042,403
2017-04-06,1.355,325
2017-04-07,1.486,297
2017-04-08,1.657,114
2017-04-09,1.37,116
2017-04-10,1.332,229
2017-04-11,1.137,332
2017-04-12,1.162,242
2017-04-13,1.278,218
2017-04-14,1.384,145
2017-04-15,0.643,108
2017-04-16,0.832,91
2017-04-17,0.681,587
2017-04-18,1.167,453
2017-04-19,1.58,317
2017-04-20,1.512,246
2017-04-21,1.494,219
2017-04-22,1.917,98
2017-04-23,1.756,109
2017-04-24,1.642,297
2017-04-25,1.802,327
2017-04-26,1.736,260
2017-04-27,1.521,293
2017-04-28,1.684,363
2017-04-29,1.328,160
2017-04-30,1.733,119
2017-05-01,1.331,237
