entry_day,prob_up,prob_big,big_thr,realized_ret,dir_correct,fc_vol,vol_z,big_correct
2026-07-13,0.5715,,,-0.00163,0,0.02223,0.073,
2026-07-14,0.5662,,,0.01806,1,0.02436,0.741,
2026-07-15,0.5394,,,-0.00845,0,0.02669,0.316,
2026-07-16,0.4687,,,-0.03583,1,0.02674,1.34,
2026-07-17,0.6353,,,0.01594,1,0.0234,0.681,
2026-07-20,0.8839,,,0.00811,1,0.02918,0.278,
2026-07-22,0.5969,0.5029,0.0135,0.01773,1,0.02391,0.742,1.0
2026-07-23,0.482,0.5029,0.0135,-0.0096,1,0.02713,0.354,0.0
2026-07-24,0.7989,0.537,0.0141,0.00362,1,0.02431,0.149,0.0
2026-07-28,0.8111,0.5089,0.0135,0.00436,1,0.02908,0.15,0.0
